,NorCal MOCI,CenCal MOCI,SoCal MOCI,SSTN14,SSTN13,BEUTI 41N,BEUTI 39N,BEUTI 37N,UI39N,MEI,PDO,NPGO
1992-01-01,6.1055395211233625,6.996512082806548,4.039614000194215,12.582983564828544,13.166682522851026,-3.388666666666666,-1.7666666666666668,-1.3710000000000002,-30.666666666666668,1.67,0.3433333333333333,-0.2614186133333333
1992-04-01,7.741875498071718,9.086058891337114,3.5535621908181296,12.840445393617633,12.974592123792712,3.830666666666667,8.315,4.798666666666667,108.66666666666667,1.75,1.1833333333333333,-1.5266274
1992-07-01,2.6284020795482737,1.1249414406171592,0.7733431927964313,13.260278149659285,12.831677402320812,3.331,5.346333333333334,2.233,124.0,0.4466666666666666,1.39,-1.2188451533333333
1992-10-01,1.956141885275669,3.45765779327344,1.2536991375678501,13.302687919381947,13.714841561612248,0.33133333333333337,1.3310000000000002,0.12033333333333333,5.666666666666667,0.7733333333333334,0.7966666666666667,-1.372784313333333
1993-01-01,3.0418927674036995,4.9393042041572945,2.524925054821331,11.992328821386701,12.44401331748008,-1.7289999999999999,-0.7616666666666666,-0.7596666666666666,-8.0,0.8466666666666667,0.3333333333333333,-2.2332373999999997
1993-04-01,7.596361800955307,4.2440182156368325,3.2461656638598453,12.377159852770284,11.818693013586072,0.7153333333333333,6.568666666666668,7.456,84.66666666666667,1.32,1.8933333333333333,-1.17678922
1993-07-01,-1.002129648732099,1.6654782075474366,0.5772468908450126,12.117527152409691,11.691398770311814,5.075333333333334,9.395333333333333,4.718,182.0,0.7233333333333333,2.1999999999999997,-1.7467709333333332
1993-10-01,0.3741656564193984,2.1477591930767845,0.4970332735890902,12.540377273368156,13.3431838192585,0.8676666666666666,1.2373333333333332,0.22299999999999998,11.666666666666666,0.6366666666666666,1.24,-2.4511728
1994-01-01,0.3325174592414428,0.6020069109298076,0.14343112099543215,12.032471790217484,12.444029283793716,0.2616666666666667,3.921,0.622,2.6666666666666665,-0.12,0.8666666666666666,-1.8961560333333332
1994-04-01,-0.9840849669052234,-2.05938475030167,-0.6711118950128907,10.655581948180126,9.960430809969731,7.7316666666666665,15.006,14.169666666666666,168.0,0.09333333333333334,0.9133333333333334,-0.7866787566666668
1994-07-01,-1.4459237257395992,-2.6337404506478093,-0.17482098575964786,11.997877288680144,11.39514129222251,5.674666666666667,9.26,3.9013333333333335,174.33333333333334,0.9266666666666667,-0.6966666666666667,-0.8915871400000001
1994-10-01,-2.4650993570701445,-2.401670206563148,-0.6510230121483134,11.63056442050236,11.924983932357705,-2.367666666666667,1.8810000000000004,1.243,35.333333333333336,1.11,-1.6900000000000002,-1.2719732
1995-01-01,6.274878203882384,6.329551966870215,1.7916940783472068,12.062393229530324,12.659891415659297,-6.597333333333334,-6.421333333333333,-4.112,-96.66666666666667,0.4633333333333334,0.24,-1.3715185766666664
1995-04-01,1.193974255401937,0.33686197492079845,-1.8126117700078803,11.162532859675984,10.878331178781737,8.353,12.337666666666665,10.361666666666666,119.66666666666667,0.11333333333333333,1.1866666666666668,-1.459064
1995-07-01,2.9834994049077146,-0.6821747225044058,-0.604957478066057,13.242007267453472,12.439905271407724,2.3716666666666666,3.172,1.905,138.66666666666666,-0.5866666666666667,1.0266666666666666,-1.13312555
1995-10-01,0.5427231485806043,-0.8042185565175591,-0.34670455302875114,13.23091292103564,12.571300678763864,-1.2186666666666668,0.7863333333333333,-0.02933333333333336,20.0,-0.7133333333333334,0.11666666666666665,-0.19312605666666668
1996-01-01,2.1056685876699897,2.708136738904757,-0.4814595683296344,12.607453581435863,12.657494848267808,0.7926666666666669,3.7573333333333334,0.9323333333333332,-7.666666666666667,-0.7600000000000001,0.7833333333333332,-0.9468818733333334
1996-04-01,-0.3804161043790349,-0.6111700734353549,0.3250810371965035,10.967862633629593,10.668672453008005,6.922333333333334,14.856333333333334,11.571666666666665,170.33333333333334,-0.8066666666666666,1.58,-0.9236388866666667
1996-07-01,-2.4006788877665586,-2.92573823590984,-1.3063618835198074,12.280489584956625,11.597471385471588,5.948333333333333,10.465666666666666,5.503333333333334,189.0,-0.5399999999999999,0.29,-0.8554380866666667
1996-10-01,0.7827477672352318,-1.2664208900660825,-1.1881278355196203,12.750235666624166,12.070134750484053,-1.4329999999999998,0.6069999999999999,0.5393333333333334,14.0,-0.35333333333333333,-0.09000000000000001,-1.1653875999999999
1997-01-01,-2.8015636154709216,-3.0554098499493447,-0.7895126085254055,11.332964563487002,11.582036688423932,2.908,9.314666666666666,4.893666666666667,51.666666666666664,-0.5566666666666666,0.3866666666666667,-1.1237827599999999
1997-04-01,3.904163598589554,1.1878716218107488,4.237323845678209,12.406340332969718,11.721271494710635,3.402333333333333,9.026333333333334,7.603333333333333,154.66666666666666,1.0333333333333334,1.88,-0.7739085666666666
1997-07-01,8.462929851044345,6.091012117014053,3.948265203702045,14.294667874396133,14.465796635623926,1.4946666666666666,3.8693333333333335,2.9153333333333333,149.0,2.16,2.4433333333333334,-0.6798883333333333
1997-10-01,7.806015424407192,10.182917386213646,5.529402053666088,14.56101218472712,14.643772440329306,0.17766666666666667,0.831,0.23266666666666666,19.333333333333332,2.033333333333333,1.1333333333333335,-0.05318280333333336
1998-01-01,9.95678424312176,9.168236006656919,4.731096822479863,13.409211163427502,13.272378475288315,-1.318,0.9326666666666666,0.34300000000000014,-47.666666666666664,2.31,1.4666666666666668,1.1070969233333334
1998-04-01,5.074251583568066,6.721749180957032,-0.3525206373513489,12.156170131168173,12.189273997909405,6.580333333333333,11.387333333333332,5.045000000000001,126.66666666666667,1.7266666666666666,0.79,0.30603906
1998-07-01,-2.029247592043906,0.5628524634026228,0.21143174663566044,12.412394164715343,12.30560213345922,5.726333333333334,7.848333333333334,3.780666666666667,229.33333333333334,-1.4900000000000002,-0.49,0.236766336
1998-10-01,-3.296609702356017,-6.459617233652706,-3.0198740471681305,12.410033807026759,11.888050396056324,0.9199999999999999,4.955666666666667,2.6833333333333336,25.0,-1.2533333333333332,-0.7833333333333333,0.5283108113333334
1999-01-01,-2.5894016677181018,-5.017512962610059,-3.774229034519833,10.76464027114983,10.564028236937597,-5.378666666666667,0.5066666666666669,5.212,2.0,-1.1833333333333333,-0.4366666666666667,1.7870941999999996
1999-04-01,-7.9203257897396835,-7.0669580587162235,-4.0098421596044185,10.783983484553223,9.078555901464386,23.325999999999997,32.814,18.907999999999998,329.6666666666667,-1.2633333333333334,-0.7966666666666667,1.7187849000000002
1999-07-01,-2.5973516280170097,-3.678932841533946,-3.5742313272575497,12.778977128074395,11.947378148225726,7.045000000000001,10.165333333333335,4.506333333333333,204.66666666666666,-1.1433333333333333,-1.05,1.3731840999999998
1999-10-01,-4.422642032920924,-5.123877567528485,-3.585186071429472,12.071657774457409,12.303716145945875,2.0566666666666666,5.32,2.715,1.6666666666666667,-1.3566666666666667,-1.9699999999999998,1.1840588666666665
2000-01-01,-0.6528976697193286,-1.2538531725849198,-2.644104455535018,10.793512997202,11.354467511930345,0.17866666666666653,4.041,3.9456666666666664,-9.666666666666666,-1.2966666666666669,-0.8466666666666667,1.8924457333333333
2000-04-01,1.5018220151663442,0.4175788991041583,0.0915550887308269,11.259115202538533,10.702977687435869,7.215333333333334,11.312666666666667,8.446,117.66666666666667,-1.0133333333333334,-0.04666666666666667,2.2292095666666665
2000-07-01,-3.3583113604429484,-3.3749841604303668,-1.5083881777043422,11.675963680753306,11.667003673953184,5.6066666666666665,9.160000000000002,6.0249999999999995,229.66666666666666,-0.34,-1.03,1.4625305666666666
2000-10-01,-3.418155139272276,-4.077441369738527,-2.516970115305872,12.070928588125293,11.802258158962225,1.5190000000000001,4.388,2.718666666666666,24.333333333333332,-0.7533333333333333,-0.4366666666666667,1.9592593000000003
2001-01-01,-2.4883476313484603,-1.715939174542506,-1.5932324440482213,10.58714255103631,11.12202821771107,4.903666666666667,9.445666666666666,5.902666666666668,25.333333333333332,-0.8266666666666667,0.4466666666666666,2.7355848666666667
2001-04-01,-4.812819194203163,-3.369561733371394,-1.3809688862693994,10.26902401258292,9.57597710812122,18.381,24.340666666666664,22.135333333333335,236.33333333333334,-0.6333333333333333,-0.36000000000000004,2.1690465333333333
2001-07-01,-4.024127537821391,-3.8318574705211965,-2.2231992196290307,11.998923122226067,11.342418776356363,7.641666666666666,13.142666666666669,7.657333333333334,224.66666666666666,0.08333333333333333,-1.1500000000000001,1.7695022666666667
2001-10-01,0.04303130098558236,-1.8373174590859118,-1.7122271433942802,11.78108832008727,11.71248451941861,-0.943,2.8840000000000003,2.3216666666666668,20.333333333333332,-0.18333333333333335,-1.1866666666666668,1.6486398333333334
2002-01-01,-3.879059366265587,-5.636218075391136,-2.2596323559131384,10.896339648164487,10.889872144225995,8.162,10.251,5.876666666666668,12.0,-0.13,-0.26666666666666666,1.9799301333333335
2002-04-01,-4.716721182694116,-4.598742097031859,-2.4245836471219437,10.446698447778394,9.67134778712794,21.27,31.258666666666667,17.426666666666666,235.66666666666666,-0.01999999999999998,-0.4333333333333333,1.2017954866666667
2002-07-01,-1.996419867013269,-2.3395783433716164,-1.1458374792472263,11.811789694514099,11.71318537593257,15.715000000000002,18.048666666666666,4.885,228.66666666666666,0.7433333333333333,0.24,1.0061837133333333
2002-10-01,4.219366290391996,2.2030643467709385,0.5924480777197672,12.434484088193765,12.82758896822361,3.731333333333333,3.0336666666666665,0.7013333333333334,-16.0,0.8033333333333333,1.3433333333333335,1.7064665066666667
2003-01-01,1.3977847866677902,1.1401213826776118,1.5815028480917919,12.11183206159977,12.440990199471349,1.2020000000000002,4.010333333333333,2.4066666666666667,-15.0,0.65,1.7833333333333332,1.484153393333333
2003-04-01,2.090973024886798,0.8190701677116279,-1.6847643693556302,10.702277479091995,10.433568399900006,12.254666666666665,16.662666666666667,11.761333333333335,180.33333333333334,-0.24,0.9166666666666666,0.9328906733333332
2003-07-01,-0.24120203144775426,-0.10871533097920943,-0.7737994440847691,12.010454414896705,12.011014164684683,8.426,11.949999999999998,3.215,207.0,0.05333333333333334,0.6166666666666666,0.9513180133333335
2003-10-01,2.3179344968474624,0.08430592973085141,-0.042152923356567513,12.055853656952886,12.196385572846758,-0.6449999999999999,0.6703333333333333,1.3713333333333333,-16.666666666666668,0.21666666666666667,0.56,0.46566667666666667
2004-01-01,0.052803784687750696,-1.408269094483045,-0.1568842266918056,11.442992683765645,11.635099443028372,2.2226666666666666,4.609999999999999,3.8686666666666665,9.666666666666666,-0.10666666666666667,0.5066666666666667,0.4383922666666667
2004-04-01,0.6177696231463599,-1.3947201465725223,0.9651640215335414,11.33200573996156,10.619898641629007,6.832333333333334,12.785666666666666,9.291666666666666,154.33333333333334,-0.33666666666666667,0.49666666666666665,0.36969255000000006
2004-07-01,1.6481939010733777,0.933322416086064,0.5158643986605115,13.198138421380705,12.353390467319288,3.481333333333333,6.2860000000000005,3.6986666666666665,138.33333333333334,0.57,0.68,0.4911178566666667
2004-10-01,-0.3575425451076364,1.5595041279027104,0.2893029696123332,12.59756291880941,13.015868786037089,3.3473333333333333,6.214333333333333,1.9893333333333334,42.0,0.45333333333333337,-0.30333333333333334,-0.46136167599999994
2005-01-01,3.0767771902057786,5.014897993207953,2.609037203290548,12.52520411741134,12.885588086333177,-0.49800000000000016,0.6363333333333333,-0.5436666666666666,1.6666666666666667,0.5033333333333333,0.8700000000000001,-1.5466616333333334
2005-04-01,5.276483216862241,2.1258983643454794,0.9302773768763172,11.953939665471923,11.493820191158898,4.732333333333333,10.060333333333334,8.593333333333334,113.33333333333333,0.17,1.3533333333333335,-1.2529986133333333
2005-07-01,-1.9488853786906617,-1.1102484103988706,-1.116315991121256,11.971461287725313,12.518392096514468,8.576,16.470000000000002,6.074666666666668,206.33333333333334,-0.02666666666666667,0.15,-1.4553672333333332
2005-10-01,-0.259145784750751,-1.9232324737612867,-1.5535765233973384,12.634640284329976,12.147751551277146,-2.8870000000000005,0.948,2.477333333333333,28.333333333333332,-0.73,-0.8733333333333334,-1.26743816
2006-01-01,0.891701718559805,-0.6568435368716199,-2.3740335729013964,11.942251975272661,12.142719464480512,0.8273333333333331,-0.05033333333333342,3.5273333333333334,9.333333333333334,-0.5966666666666667,0.58,-0.80845106
2006-04-01,3.1375240443011,4.533961123739932,1.291569716449403,11.821419560221814,11.000235182587916,16.811000000000003,21.780666666666665,11.17,134.0,-0.5,0.64,-0.27176879666666665
2006-07-01,-2.599744858709399,0.1096757619318548,1.0903652741003271,12.074246769353474,12.3983306298138,12.556666666666667,17.951666666666664,7.097333333333334,236.66666666666666,0.43333333333333335,-0.41333333333333333,-0.40174631333333327
2006-10-01,-0.4302527021199804,-0.6935200359377074,0.19166074334032096,12.870141486156564,13.32946858486453,-1.9426666666666665,1.7313333333333336,0.391,49.666666666666664,0.7233333333333333,-0.043333333333333335,-0.7335248
2007-01-01,-5.8033407111266175,-6.282037254512558,-2.254534608399075,10.874397678447467,10.89336800432698,4.624,15.023000000000001,10.342,80.66666666666667,0.26333333333333336,-0.10333333333333333,-0.3662333566666667
2007-04-01,-3.626201553657844,-5.007295225369494,-2.465551764876885,10.328819069611495,9.832176885621955,13.024666666666667,20.701666666666668,14.616999999999999,204.33333333333334,-0.5533333333333333,0.049999999999999996,0.72816282
2007-07-01,1.3650786602390903,-0.9452841420950792,-0.6349894349037198,13.345331095489357,11.887879443098589,8.568666666666667,10.340666666666666,3.0413333333333337,119.66666666666667,-0.9333333333333335,0.3066666666666667,1.1928089566666669
2007-10-01,-4.6041717833554525,-5.966611329735343,-2.9837273685687355,11.938095972582298,11.466812762973353,2.518666666666667,7.164666666666666,3.573,39.666666666666664,-1.163333333333333,-1.0366666666666668,0.8183042199999999
2008-01-01,-5.456027245865434,-6.186374693699527,-3.1679888483008534,10.200072154782825,10.57223036282445,3.392333333333333,13.268,5.689,57.0,-1.2966666666666666,-0.8266666666666667,1.02173395
2008-04-01,-7.22822856355755,-6.876683629445608,-1.0722712877599792,9.398556763285026,9.480069347046907,22.998,29.744333333333334,21.399333333333335,222.66666666666666,-0.9899999999999999,-1.4100000000000001,1.4707082
2008-07-01,-0.7161128482388057,0.3791097510158049,0.619518920055352,12.07987507142486,12.653262298062437,12.607666666666667,12.630333333333333,4.9639999999999995,150.33333333333334,-1.0066666666666668,-1.64,1.9328280333333332
2008-10-01,-3.5206973846083063,-2.851583547676172,-1.5934884136090024,12.058064970650875,12.147889720014547,0.721,4.425666666666666,2.3386666666666667,36.666666666666664,-1.0733333333333333,-1.2933333333333332,1.39467545
2009-01-01,-4.347993288995179,-3.4206753118195286,-2.3774387289577232,10.581510810367751,10.86437066340852,2.3746666666666667,8.144,6.724333333333334,37.666666666666664,-0.9333333333333332,-1.5133333333333334,0.65366916
2009-04-01,-1.552161358014943,-0.8096154954900465,-0.5551933333740535,10.15655465949821,10.389706454849076,16.868666666666666,24.00233333333333,15.076,147.66666666666666,-0.53,-0.9466666666666667,0.44664919666666664
2009-07-01,-0.3593462193853466,-1.6611244063993618,0.047867187658711986,12.297401433691755,11.966599072775443,7.802,6.760333333333333,4.027,142.0,0.4666666666666666,0.026666666666666655,0.75407037
2009-10-01,0.35806872958357083,0.1767997486545749,1.5000477965779642,11.789392174432498,11.567485837560097,0.9743333333333334,4.250666666666667,3.8850000000000002,22.666666666666668,0.8566666666666668,-0.016666666666666666,1.0907213333333334
2010-01-01,5.452316587903359,4.386950522966996,2.7098288895488323,11.954062868719253,12.358090743894564,-4.53,0.5503333333333336,-0.02699999999999984,-57.333333333333336,1.1733333333333333,0.6966666666666667,1.8526162333333331
2010-04-01,-0.7162678528876875,-3.0590268044861366,-2.077831733560616,10.460270895018441,10.57827632330788,10.266666666666666,18.517666666666667,18.562,154.0,-0.3366666666666667,0.3933333333333333,1.4276834
2010-07-01,-3.8418986099379504,-4.6448239111167124,-4.502087323382874,11.304115890083631,11.58559126798608,16.332,17.599999999999998,8.879666666666667,187.66666666666666,-2.3699999999999997,-1.3100000000000003,1.0757355000000002
2010-10-01,0.3990961843387287,-2.457934653510696,-2.8758049736449784,12.034233870967745,11.89119888077523,-3.906333333333333,-0.18599999999999994,1.1890000000000003,-2.3333333333333335,-2.0433333333333334,-1.03,1.1245340366666665
2011-01-01,-1.9227683076116424,-2.7723031939747367,-2.7666650665996744,10.851248714337666,11.258912692915004,-0.2046666666666669,1.274333333333333,3.764666666666667,3.3333333333333335,-1.75,-0.8133333333333334,0.6911634000000001
2011-04-01,-2.2891328614749225,-2.2414951702680312,-2.22306299860042,11.088826449781338,10.259502466313199,11.735666666666667,20.374666666666666,15.029333333333332,143.0,-1.37,-0.49333333333333335,1.0345281133333335
2011-07-01,-2.141798243081379,-1.8990985590405025,-2.0967645333670824,12.360217227815228,11.769348106220276,7.770333333333333,10.47,6.493333333333333,220.33333333333334,-0.9666666666666667,-1.7966666666666669,1.1332589000000002
2011-10-01,-4.698789300786253,-3.424362208901207,-3.3170838372189166,12.030937873357226,11.853237299361075,2.9456666666666664,5.870333333333334,2.607666666666667,45.666666666666664,-1.2733333333333334,-1.82,0.5700767033333333
2012-01-01,-4.159444284250304,-5.527337532963472,-2.328005380757236,10.376591591789639,10.125534599513536,-1.6760000000000002,3.203,5.401666666666666,12.666666666666666,-0.7799999999999999,-1.0933333333333335,0.9374419633333333
2012-04-01,-1.6919717609234517,-3.960341449485021,-0.6002151356309561,10.508871617058851,9.721837956469795,9.794333333333334,15.036999999999999,15.073666666666668,187.0,-0.35333333333333333,-0.7999999999999999,1.830716533333333
2012-07-01,-3.5638229768443925,-4.3138510649951805,0.22422090936803946,11.511406939899226,10.885093047114436,8.548666666666668,11.271666666666667,6.478333333333334,288.0,-0.026666666666666672,-1.8866666666666667,1.6498354666666668
2012-10-01,3.0887127310954616,2.4969303499873723,0.20539785141610165,13.78372097553374,12.752511652287248,-1.1063333333333334,-0.014666666666666717,0.9203333333333333,5.0,-0.12000000000000001,-0.62,1.4895292
2013-01-01,-8.47851101392866,-7.762765691404697,-3.111850862208964,10.088580277833435,10.190867760200684,7.147333333333333,12.969666666666667,11.426333333333332,84.66666666666667,-0.08666666666666667,-0.39666666666666667,1.0252060633333333
2013-04-01,-4.0260588029583655,-3.113233272322712,-0.2486823396343569,10.653283855384137,9.819207827456422,17.863666666666663,27.237666666666666,21.965666666666664,221.33333333333334,-0.7533333333333333,-0.2866666666666667,0.6844603333333333
2013-07-01,1.0907717990858987,-0.4418884654165315,-1.2599013624420925,12.809649835191559,11.581463269406816,11.324333333333334,13.849666666666666,8.571333333333333,202.0,-0.5766666666666667,-0.9233333333333333,0.4673574233333333
2013-10-01,-7.0846284888566124,-2.9554954025726254,-0.25801016589167497,11.751338512858496,10.62358467210676,6.932666666666666,8.807,6.718666666666667,86.0,-0.22999999999999998,-0.4633333333333333,-0.8017086466666666
2014-01-01,-1.546070587758081,0.41944462993622994,1.2298993190351777,11.565465214975497,11.33546647855028,-0.1256666666666666,2.2753333333333337,0.9296666666666665,9.333333333333334,-0.34,0.5499999999999999,-0.37041004666666666
2014-04-01,-0.3487050214068293,1.9419125535570525,2.4960067217322828,11.475716260969195,10.391057795783253,15.175666666666666,21.741666666666664,16.596666666666668,247.0,-0.11666666666666665,1.2499999999999998,-0.26880292
2014-07-01,6.391864827489327,8.67865365548914,3.4161379514327788,14.151538766974717,14.925049283154124,8.119,8.221666666666666,3.48,198.33333333333334,0.10999999999999999,0.8166666666666668,-0.48489407333333334
2014-10-01,8.800727377426863,8.672457669494698,4.051322995898809,15.365402422946739,15.381369409381335,-0.065,0.27366666666666667,0.1556666666666667,-7.0,0.25,1.9066666666666665,0.12741087333333334
2015-01-01,2.2687990316935824,3.817885960453904,3.650305502605857,12.807330298570221,13.301505557225227,0.013333333333333327,1.483666666666667,1.649333333333333,22.333333333333332,0.1366666666666667,2.25,-1.0726247766666666
2015-04-01,0.9137241700451988,4.006337010512516,3.2783205062101475,11.116845802579325,10.849541647187158,18.037333333333333,23.145333333333337,16.972666666666665,234.66666666666666,1.0533333333333335,1.3933333333333333,-1.1155615833333334
2015-07-01,8.876314354049194,10.966255439804682,5.550183228085488,14.346523908888573,14.384054895302773,4.167333333333333,6.3870000000000005,2.344666666666667,144.66666666666666,1.9533333333333331,1.78,-1.8350002000000003
2015-10-01,4.1584193151022735,5.212474358692901,4.906653751830897,14.087559795336764,14.048780972417015,-0.445,0.6843333333333333,0.851,32.0,1.9633333333333332,1.1133333333333333,-1.5549771000000001
2016-01-01,4.712050587204263,3.369960628512078,2.965911159147589,13.032847664075044,12.887735366187876,-3.5450000000000004,-1.2776666666666665,0.6919999999999998,-36.0,1.6866666666666668,1.8933333333333333,0.5473335166666666
2016-04-01,2.0960226855431925,3.2210602763220675,1.724521660229919,11.725986196346986,11.248165030388032,10.708999999999998,17.794,13.825666666666669,200.66666666666666,0.9833333333333333,2.3333333333333335,-0.6798492766666667
2016-07-01,-2.4691097586358963,-0.6475834610163284,1.3131322143029223,12.597355552333076,12.066604508169144,13.59966666666667,15.912333333333331,8.114666666666666,282.6666666666667,-0.3766666666666667,0.7400000000000001,-0.6011165666666667
2016-10-01,3.9394760200932413,1.4500652245178216,1.0038902557462714,13.092488353435682,13.106316333033803,-0.08766666666666663,0.8263333333333334,0.86,5.333333333333333,-0.48333333333333334,1.2033333333333334,-0.009208433333333321
2017-01-01,2.713427024822076,2.1340103741855683,0.6216162379946308,11.78407711029269,12.130447977914693,-3.6846666666666668,0.020333333333333387,1.4276666666666669,-6.333333333333333,-0.4666666666666666,0.7366666666666667,-0.6104070866666667
2017-04-01,2.0536439624843874,1.3762370232689616,1.5859507656839953,11.80412454553055,10.544791691564056,10.242666666666667,18.315,16.357666666666663,190.0,-0.10999999999999999,0.93,-0.28829861
2017-07-01,1.4876999280822714,3.230767859064483,1.9453246491237652,13.47377740546525,12.831989984373825,13.039000000000001,14.716666666666667,5.080666666666667,270.3333333333333,-0.7566666666666667,0.17,-0.5006197433333334
